material,A_Z,A_r_s,A_r_val,A_r_s_1,A_r_val_1,A_eps_H,A_eps_L,A_EA,A_IP,A_EN,n_A,n_B,B_Z,B_r_s,B_r_val,B_r_s_1,B_r_val_1,B_eps_H,B_eps_L,B_EA,B_IP,B_EN
Pa2NiTlO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,54.5,1.1752500000000001,0.9369,1.11385,0.87435,-3.28948993365519,-3.28948993365519,-0.27423960942953596,6.496004048980235,3.11088221977535
Pa2NiPbO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,55.0,1.1463999999999999,0.8703,1.08775,0.83,-3.9035549212702847,-3.9035549212702847,-0.76296234962379,7.22524883434423,3.231143242360215
Pa2NiBiO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,55.5,1.1215,0.81905,1.06475,0.79315,-4.470464909836435,-4.470464909836435,-1.2261176902567401,7.903087720621625,3.3384850151824397
PaCuO3,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,29.0,1.19885,1.19885,1.12835,1.12835,-4.57533990772124,-4.57533990772124,-1.23469134509654,8.33297702193397,3.54914283841872
Pa2CuZnO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,29.5,1.1519,1.1519,1.0895000000000001,1.0895000000000001,-5.2766898935759095,-2.6370199468146773,0.18153677634187504,9.13714987571487,4.659343326028376
Pa2CuGaO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,30.0,1.1011,1.2692999999999999,1.0493999999999999,1.1684999999999999,-3.5021649293658097,-3.5021649293658097,-0.39224006708729997,7.002839663763375,3.30529979833804
Pa2CuGeO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,30.5,1.0606,1.18495,1.0171000000000001,1.1106500000000001,-4.199894915293485,-4.199894915293485,-0.90257173679649,7.890961930836566,3.49419509702004
Pa2CuZrO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,34.5,1.4335499999999999,1.0222,1.3525,0.9785999999999999,-4.015099919020565,-4.015099919020565,-0.5123927396629305,7.720486799291351,3.60404702981421
Pa2CuNbO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,35.0,1.3874,0.9862,1.32735,0.95105,-4.57788490766991,-4.57788490766991,-0.947713115882003,7.7490961387166655,3.4006915114173353
Pa2CuMoO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,35.5,1.3683,0.96315,1.2965499999999999,0.9251499999999999,-4.427264910707725,-4.427264910707725,-1.1897186109824451,7.670128640320286,3.24020501466892
Pa2CuTcO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,36.0,1.3527,0.9421999999999999,1.2681499999999999,0.9035,-4.26318991401691,-4.26318991401691,-1.217801710438845,7.756072588580116,3.2691354390706397
Pa2CuRuO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,36.5,1.33725,0.9231,1.24915,0.8835999999999999,-4.102224917263365,-4.102224917263365,-1.080247363190926,8.003153983604324,3.4614533102067
