material,bulk_modulus,A_r_s,A_r_val,A_r_s_1,A_r_val_1,A_Z,A_eps_H,A_eps_L,A_EA,A_IP,A_EN,n_A,n_B,B_r_s,B_r_val,B_r_s_1,B_r_val_1,B_Z,B_eps_H,B_eps_L,B_EA,B_IP,B_EN
BaMnO3,1.20155868958,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.36815,0.40825,1.30255,0.40875,25,-4.37895996392283,-4.37895996392283,-0.575037685258773,7.39822451904905,3.41159341689514
BaMoO3,1.23785523017,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.53775,0.72745,1.46475,0.72195,42,-4.27918996474481,-4.27918996474481,-1.14474589052513,7.00728034230322,2.93126722588905
BaNbO3,1.16570962352,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.57595,0.77355,1.52635,0.77375,41,-4.58042996226296,-4.58042996226296,-0.660734894550011,7.16521534098014,3.25224022321507
BaNiO3,0.976635889925,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.25315,0.33775,1.14775,0.33945,28,-4.41903996359262,-4.41903996359262,-1.06489142121737,7.8785395951004,3.40682408694151
BaPbO3,0.731875569267,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.03965,1.40285,1.02775,1.32055,82,-3.38806997208652,-3.38806997208652,-0.461033296234442,6.57195824598203,3.05546247487379
BaPdO3,0.762098866519,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.40755,0.58065,1.27995,0.57415,46,-4.09639996625077,-3.37188997221983,-0.450016896319226,9.06265342535871,4.30631826451974
BaPtO3,1.09217167822,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.26865,0.67055,1.20435,0.66465,78,-5.44059995517624,-5.44059995517624,-2.19568358191321,9.35311962291117,3.57871802049898
BaRhO3,1.10817436032,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.44625,0.61295,1.32285,0.60445,45,-3.51704997102389,-3.51704997102389,-0.55007349551869,8.37916973092065,3.91454811770098
BaRuO3,1.0529006201,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.47565,0.64735,1.36995,0.63885,44,-3.62910997010066,-3.62910997010066,-0.925803392330116,7.67333103681727,3.37376382224358
BaSbO3,0.84870042155,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.00325,1.23855,0.98825,1.18075,51,-4.78668996056364,-4.78668996056364,-1.48174758781515,8.33749663130363,3.42787452174424
BaSnO3,0.942861503419,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.06585,1.35395,1.04465,1.27905,50,-3.60333997031297,-3.60333997031297,-0.624456994831229,6.87582904338559,3.12568602427718
BaTaO3,1.21640082686,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.46495,0.83725,1.37585,0.81235,73,-3.54071997082888,-3.54071997082888,0.286069997746992,7.763254136017,4.024662066882
BaTcO3,1.23936043608,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.50655,0.68555,1.40795,0.67865,43,-3.95103996744835,-3.95103996744835,-1.20091209010799,7.17916824087351,2.98912807538276
BaTiO3,1.12786890118,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.54605,0.51945,1.46925,0.51995,22,-4.13788996590894,-4.13788996590894,0.416301036565948,7.12072002133592,3.76851052895093
BaVO3,1.19969015568,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.47915,0.47555,1.40435,0.47775,23,-4.42466996354623,-4.42466996354623,-0.105595059134819,7.21880600052479,3.55660547069498
BaWO3,1.30233359753,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.40525,0.79075,1.33475,0.77745,74,-4.46415996322088,-4.46415996322088,-0.408239396770123,8.81585142720564,4.20380601521776
BaZnO3,0.716361572056,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.10495,1.10495,1.05065,1.05065,30,-5.9780399507484,-0.698699994243583,1.59776491684157,9.94132284809543,5.7695438824685
BaZrO3,1.02255266286,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.66825,0.84555,1.57665,0.82885,40,-3.45485997153626,-3.45485997153626,0.209905868274849,7.1079966614469,3.65895126486087
BeAgO3,0.95595760109,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.31705,1.31705,1.24305,1.24305,47,-4.3784899639267,-4.3784899639267,-1.18205659027474,7.87468273510161,3.34631307241344
BeAlO3,1.13679048675,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.10775,1.39955,1.05735,1.24815,13,-2.5456999790266,-2.5456999790266,0.341120609189343,5.7268123878179,3.03396649850362
BeBiO3,0.843111151606,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,0.98985,1.30035,0.98175,1.24685,83,-4.52188996274526,-4.52188996274526,-1.3873439885512,7.92763603471,3.2701460230794
BeCdO3,0.602009511445,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.23185,1.23185,1.17655,1.17655,48,-5.66952995329014,-0.80207999339186,1.4828730877692,9.3171386232756,5.4000058555224
BeCoO3,1.34919958617,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.29155,0.35895,1.19155,0.36135,27,-4.41284996364361,-4.41284996364361,-1.07005130118966,7.65850740690399,3.29422805285716
BeCrO3,1.39278932148,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.42455,0.43935,1.34675,0.44105,24,-4.42488996354442,-4.42488996354442,-0.503656315849902,7.30853834978004,3.40244101696507
BeCuO3,1.08303284558,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.19885,1.19885,1.12835,1.12835,29,-4.5753399623049,-4.5753399623049,-1.23469135982637,8.33297712134612,3.54914288075987
BeFeO3,1.40959937638,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.33295,0.38215,1.23965,0.38635,26,-4.40060996374446,-4.40060996374446,-0.997517531789624,7.47176953842758,3.23712600331898
BeGaO3,1.02078423495,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.00335,1.33975,0.97045,1.20865,31,-2.42898997998815,-2.42898997998815,0.450211216292945,5.67270237326794,3.06145679478044
BeGeO3,1.30915799165,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,0.92235,1.17105,0.90585,1.09295,32,-3.8244499684913,-3.8244499684913,-0.570452135301915,7.44894692860485,3.43924739665147
BeMnO3,1.42765678082,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.36815,0.40825,1.30255,0.40875,25,-4.37895996392283,-4.37895996392283,-0.575037685258773,7.39822451904905,3.41159341689514
BeMoO3,1.37109549823,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.53775,0.72745,1.46475,0.72195,42,-4.27918996474481,-4.27918996474481,-1.14474589052513,7.00728034230322,2.93126722588905
BeNbO3,1.27498612022,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.57595,0.77355,1.52635,0.77375,41,-4.58042996226296,-4.58042996226296,-0.660734894550011,7.16521534098014,3.25224022321507
BeNiO3,1.25537185124,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.25315,0.33775,1.14775,0.33945,28,-4.41903996359262,-4.41903996359262,-1.06489142121737,7.8785395951004,3.40682408694151
BePbO3,0.812967998869,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.03965,1.40285,1.02775,1.32055,82,-3.38806997208652,-3.38806997208652,-0.461033296234442,6.57195824598203,3.05546247487379
BePdO3,1.16766914024,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.40755,0.58065,1.27995,0.57415,46,-4.09639996625077,-3.37188997221983,-0.450016896319226,9.06265342535871,4.30631826451974
BePtO3,1.27763940893,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.26865,0.67055,1.20435,0.66465,78,-5.44059995517624,-5.44059995517624,-2.19568358191321,9.35311962291117,3.57871802049898
BeRhO3,1.24737458915,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.44625,0.61295,1.32285,0.60445,45,-3.51704997102389,-3.51704997102389,-0.55007349551869,8.37916973092065,3.91454811770098
BeRuO3,1.34022214,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.47565,0.64735,1.36995,0.63885,44,-3.62910997010066,-3.62910997010066,-0.925803392330116,7.67333103681727,3.37376382224358
BeSbO3,0.715637833141,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.00325,1.23855,0.98825,1.18075,51,-4.78668996056364,-4.78668996056364,-1.48174758781515,8.33749663130363,3.42787452174424
BeSnO3,1.05465710616,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.06585,1.35395,1.04465,1.27905,50,-3.60333997031297,-3.60333997031297,-0.624456994831229,6.87582904338559,3.12568602427718
BeTaO3,1.33437024961,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.46495,0.83725,1.37585,0.81235,73,-3.54071997082888,-3.54071997082888,0.286069997746992,7.763254136017,4.024662066882
BeTcO3,1.39103201497,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.50655,0.68555,1.40795,0.67865,43,-3.95103996744835,-3.95103996744835,-1.20091209010799,7.17916824087351,2.98912807538276
BeTiO3,1.2360005847,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.54605,0.51945,1.46925,0.51995,22,-4.13788996590894,-4.13788996590894,0.416301036565948,7.12072002133592,3.76851052895093
BeVO3,1.36293582395,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.47915,0.47555,1.40435,0.47775,23,-4.42466996354623,-4.42466996354623,-0.105595059134819,7.21880600052479,3.55660547069498
BeWO3,1.4465289612,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.40525,0.79075,1.33475,0.77745,74,-4.46415996322088,-4.46415996322088,-0.408239396770123,8.81585142720564,4.20380601521776
BeZnO3,0.870915382336,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.10495,1.10495,1.05065,1.05065,30,-5.9780399507484,-0.698699994243583,1.59776491684157,9.94132284809543,5.7695438824685
BeZrO3,1.04429098233,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.66825,0.84555,1.57665,0.82885,40,-3.45485997153626,-3.45485997153626,0.209905868274849,7.1079966614469,3.65895126486087
CaAgO3,0.879320029036,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.31705,1.31705,1.24305,1.24305,47,-4.3784899639267,-4.3784899639267,-1.18205659027474,7.87468273510161,3.34631307241344
CaAlO3,1.05557070011,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.10775,1.39955,1.05735,1.24815,13,-2.5456999790266,-2.5456999790266,0.341120609189343,5.7268123878179,3.03396649850362
CaBiO3,0.773625514935,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,0.98985,1.30035,0.98175,1.24685,83,-4.52188996274526,-4.52188996274526,-1.3873439885512,7.92763603471,3.2701460230794
CaCdO3,0.606146579159,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.23185,1.23185,1.17655,1.17655,48,-5.66952995329014,-0.80207999339186,1.4828730877692,9.3171386232756,5.4000058555224
CaCoO3,1.09355076902,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.29155,0.35895,1.19155,0.36135,27,-4.41284996364361,-4.41284996364361,-1.07005130118966,7.65850740690399,3.29422805285716
CaCrO3,1.32816244386,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.42455,0.43935,1.34675,0.44105,24,-4.42488996354442,-4.42488996354442,-0.503656315849902,7.30853834978004,3.40244101696507
CaCuO3,0.931167149943,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.19885,1.19885,1.12835,1.12835,29,-4.5753399623049,-4.5753399623049,-1.23469135982637,8.33297712134612,3.54914288075987
CaFeO3,1.26596880207,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.33295,0.38215,1.23965,0.38635,26,-4.40060996374446,-4.40060996374446,-0.997517531789624,7.47176953842758,3.23712600331898
CaGaO3,0.955011089854,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.00335,1.33975,0.97045,1.20865,31,-2.42898997998815,-2.42898997998815,0.450211216292945,5.67270237326794,3.06145679478044
CaGeO3,1.19300087474,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,0.92235,1.17105,0.90585,1.09295,32,-3.8244499684913,-3.8244499684913,-0.570452135301915,7.44894692860485,3.43924739665147
CaMnO3,1.20872990174,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.36815,0.40825,1.30255,0.40875,25,-4.37895996392283,-4.37895996392283,-0.575037685258773,7.39822451904905,3.41159341689514
CaMoO3,1.28884030035,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.53775,0.72745,1.46475,0.72195,42,-4.27918996474481,-4.27918996474481,-1.14474589052513,7.00728034230322,2.93126722588905
CaNbO3,1.1976535006,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.57595,0.77355,1.52635,0.77375,41,-4.58042996226296,-4.58042996226296,-0.660734894550011,7.16521534098014,3.25224022321507
CaNiO3,0.997111228889,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.25315,0.33775,1.14775,0.33945,28,-4.41903996359262,-4.41903996359262,-1.06489142121737,7.8785395951004,3.40682408694151
CaPbO3,0.782495314395,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.03965,1.40285,1.02775,1.32055,82,-3.38806997208652,-3.38806997208652,-0.461033296234442,6.57195824598203,3.05546247487379
CaPdO3,0.825718493589,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.40755,0.58065,1.27995,0.57415,46,-4.09639996625077,-3.37188997221983,-0.450016896319226,9.06265342535871,4.30631826451974
CaPtO3,1.13769267213,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.26865,0.67055,1.20435,0.66465,78,-5.44059995517624,-5.44059995517624,-2.19568358191321,9.35311962291117,3.57871802049898
CaRhO3,1.17171418959,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.44625,0.61295,1.32285,0.60445,45,-3.51704997102389,-3.51704997102389,-0.55007349551869,8.37916973092065,3.91454811770098
CaRuO3,1.26580427322,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.47565,0.64735,1.36995,0.63885,44,-3.62910997010066,-3.62910997010066,-0.925803392330116,7.67333103681727,3.37376382224358
CaSbO3,0.88598684081,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.00325,1.23855,0.98825,1.18075,51,-4.78668996056364,-4.78668996056364,-1.48174758781515,8.33749663130363,3.42787452174424
CaSnO3,1.00785587702,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.06585,1.35395,1.04465,1.27905,50,-3.60333997031297,-3.60333997031297,-0.624456994831229,6.87582904338559,3.12568602427718
CaTaO3,1.24901863948,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.46495,0.83725,1.37585,0.81235,73,-3.54071997082888,-3.54071997082888,0.286069997746992,7.763254136017,4.024662066882
CaTcO3,1.29984943576,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.50655,0.68555,1.40795,0.67865,43,-3.95103996744835,-3.95103996744835,-1.20091209010799,7.17916824087351,2.98912807538276
CaTiO3,1.19118034936,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.54605,0.51945,1.46925,0.51995,22,-4.13788996590894,-4.13788996590894,0.416301036565948,7.12072002133592,3.76851052895093
CaVO3,1.28637076406,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.47915,0.47555,1.40435,0.47775,23,-4.42466996354623,-4.42466996354623,-0.105595059134819,7.21880600052479,3.55660547069498
CaWO3,1.3468153377,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.40525,0.79075,1.33475,0.77745,74,-4.46415996322088,-4.46415996322088,-0.408239396770123,8.81585142720564,4.20380601521776
CaZnO3,0.800914135136,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.10495,1.10495,1.05065,1.05065,30,-5.9780399507484,-0.698699994243583,1.59776491684157,9.94132284809543,5.7695438824685
CaZrO3,1.04158467561,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.66825,0.84555,1.57665,0.82885,40,-3.45485997153626,-3.45485997153626,0.209905868274849,7.1079966614469,3.65895126486087
CeAgO3,1.03940603613,2.02455,0.38005,1.91885,0.38135,58,-2.45318997978877,-2.45318997978877,0.623611494833801,5.77251755234996,3.19806452359188,3,3,1.31705,1.31705,1.24305,1.24305,47,-4.3784899639267,-4.3784899639267,-1.18205659027474,7.87468273510161,3.34631307241344
CeAlO3,1.31061853958,2.02455,0.38005,1.91885,0.38135,58,-2.45318997978877,-2.45318997978877,0.623611494833801,5.77251755234996,3.19806452359188,3,3,1.10775,1.39955,1.05735,1.24815,13,-2.5456999790266,-2.5456999790266,0.341120609189343,5.7268123878179,3.03396649850362
CeBiO3,0.650326752636,2.02455,0.38005,1.91885,0.38135,58,-2.45318997978877,-2.45318997978877,0.623611494833801,5.77251755234996,3.19806452359188,3,3,0.98985,1.30035,0.98175,1.24685,83,-4.52188996274526,-4.52188996274526,-1.3873439885512,7.92763603471,3.2701460230794
CeCdO3,0.93764178087,2.02455,0.38005,1.91885,0.38135,58,-2.45318997978877,-2.45318997978877,0.623611494833801,5.77251755234996,3.19806452359188,3,3,1.23185,1.23185,1.17655,1.17655,48,-5.66952995329014,-0.80207999339186,1.4828730877692,9.3171386232756,5.4000058555224
CeCoO3,1.43360332865,2.02455,0.38005,1.91885,0.38135,58,-2.45318997978877,-2.45318997978877,0.623611494833801,5.77251755234996,3.19806452359188,3,3,1.29155,0.35895,1.19155,0.36135,27,-4.41284996364361,-4.41284996364361,-1.07005130118966,7.65850740690399,3.29422805285716
CeCrO3,1.44334821582,2.02455,0.38005,1.91885,0.38135,58,-2.45318997978877,-2.45318997978877,0.623611494833801,5.77251755234996,3.19806452359188,3,3,1.42455,0.43935,1.34675,0.44105,24,-4.42488996354442,-4.42488996354442,-0.503656315849902,7.30853834978004,3.40244101696507
CeCuO3,1.2722198488,2.02455,0.38005,1.91885,0.38135,58,-2.45318997978877,-2.45318997978877,0.623611494833801,5.77251755234996,3.19806452359188,3,3,1.19885,1.19885,1.12835,1.12835,29,-4.5753399623049,-4.5753399623049,-1.23469135982637,8.33297712134612,3.54914288075987
CeFeO3,1.46879547158,2.02455,0.38005,1.91885,0.38135,58,-2.45318997978877,-2.45318997978877,0.623611494833801,5.77251755234996,3.19806452359188,3,3,1.33295,0.38215,1.23965,0.38635,26,-4.40060996374446,-4.40060996374446,-0.997517531789624,7.47176953842758,3.23712600331898
CeGaO3,1.22784143833,2.02455,0.38005,1.91885,0.38135,58,-2.45318997978877,-2.45318997978877,0.623611494833801,5.77251755234996,3.19806452359188,3,3,1.00335,1.33975,0.97045,1.20865,31,-2.42898997998815,-2.42898997998815,0.450211216292945,5.67270237326794,3.06145679478044
